NOM DU MUSEE;ADR;CP;VILLE;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES
Musée des Beaux-Arts;20, Quai Emile Zola;35100;RENNES;www.mbar.org;Jours fériés;Ouvert du mercredi au dimanche de 10h à 12h et de 14h à 18h et le mardi de 10h à 18h;
Musée de Bretagne;"46, boulevard Magenta
CS 51138";35011;RENNES Cedex;www.musee-bretagne.fr;Jours fériés;Ouvert le mardi de 12h à 21h, mercredi à vendredi de 12h à 19h, samedi et dimanche de 14h à 19h, juillet-août du mardi au dimanche de 13h à 19h;Mardi jusqu'à 21h
Musée d'Histoire de la Ville de Saint-Malo;"Château
Esplanade Félicité Lamennais - B.P. 147";35401;SAINT-MALO CEDEX;Site de la ville;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert d'avril à septembre tous les jours de 10h à 12h30 et de 14h à 18h et d'octobre à mars de 10h à 12h et de 14h à 18h du mardi au dimanche;
Musée International du Long-Cours Cap-Hornier;"Tour Solidor
Esplanade du Commandant Menguy - B.P. 147";35401;SAINT-MALO CEDEX;Site de la ville - www.ville-saint-malo.fr;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert d'avril à septembre tous les jours de 10h à 12h30 et de 14h à 18h et d'octobre à mars de 10h à 12h et de 14h à 18h du mardi au dimanche;
Musée Saint-Nicolas;15, Rue Pasteur;35506;VITRE;site de l'office du tourisme;1er janvier, dimanche de Pâques, 1er novembre et 25 décembre;Ouvert du 1er octobre au 31 mars de 10h30 à 12h15 et de 14h à 17h30 le vendredi, samedi et le dimanche de 14h à 17h30 et du 1er avril au 30 septembre de 10h30 à 12h30 et de 14h à 18h30 tous les jours;
Musée des Rochers-Sévigné;Route d'Argentré du Plessis;35500;VITRE;site de l'office du tourisme;1er janvier, dimanche de Pâques, 1er novembre et 25 décembre;Ouvert du 1er octobre au 31 mars de14h à 17h30 le vendredi, samedi, dimanche et du 1er avril au 30 septembre de 10h30 à 12h30 et de 14h à 18h30 tous le jours;
Musée du Château;Place du Château;35506;VITRE Cedex;site de l'office du tourisme;1er janvier, dimanche de Pâques, 1er novembre et 25 décembre;Ouvert du 1er octobre au 31 mars de 10h30 à 12h15 et de 14h à 17h30 le lundi, du mercredi au samedi, et le dimanche de 14h à 17h30 et du 1er avril au 30 septembre de 10h30 à 12h30 et de 14h à 18h30 tous les jours;
Ecomusée de Saint-Dégan;;56400;BREC'H;www.ecomusee-st-degan.fr;1er et 11 novembre, 24, 25 30 et 31 décembre;Ouvert de février à fin novembre, et vacances scolaires de Noël du lundi au vendredi de 14h à 17h30 et certains dimanches selon programme d'animations, en juillet etaoût tous les jours de 10h à 19h;
Musée de Préhistoire J. Miln- Z. Le-Rouzic;10, Place de la chapelle;56340;CARNAC;www.museedecarnac.com;janvier, 1er mai, 25 décembre;Ouvert d'octobre à fin mars de 10h à 12h30 et de 14h à 17h, d'avril à  juin et septembrede 10h à 12h30 et de 14h à 18h, en juillet-août tous les jours de 10h à 18h;
Ecomusée de l'Île de Groix;Port-Tudy;56590;ILE DE GROIX;http://ecomusee.groix.free.fr;Jours fériés;Ouvert de mai à septembre tous les jours de 9h45 à 12h30 et de 14h à  18h, d'octobre à novembre et avril du mardi au dimanche de 9h45 à 12h et de 14h à 17h, de décembre à mars le mercredi, samedi et dimanche (sauf vacances scolaires du mercredi au dimanch;
Ecomusée Industriel des Forges;Mail François Giovannelli;56650;INZINZAC-LOCHRIST;www.inzinzac-lochrist.fr/Ecomusee-des-Forges.6681.0.html;Janvier, février;Ouvert de mars à décembre du lundi au vendredi de 10h à 12h et de 14h à 18h, dimanche de 14h à 18h, en juin ouvert également le samedi de 14h à 18h, en juillet-août du lundi au vendredi de 10h à 18h30, samedi et dimanche de 14h à 18h30;
Musée du Faouët;1, Rue de Quimper;56320;LE FAOUET;www.museedufaouet.fr;Mi octobre à fin mars;"Ouvert du 1er avril au 17 juin puis du 1er juillet au 14 octobre.
Ouvert en Avril, mai, juin, septembre et octobre du mardi au samedi de 10h à 12h et de 14h à 18h, le dimanche de 14h à 18h, les jours fériés de 10h à 12h et de 14h à 18h. En juillet-août t";
Musée de la Compagnie des Indes;Citadelle de Port-Louis;56290;PORT-LOUIS;http://musee.lorient.fr;1er mai, mi- décembre au 31 janvier inclus;Ouvert du 1er février au 30 avril du mercredi au lundi de 10h à 12h30 et de 14h à 18h, du 2 mai au 31 août tous les jours de 10h à 18h30, du 1er septembre au 15 décembre du mercredi au lundi de 13h30 à 18h;
Musée National de la Marine;Citadelle de Port-Louis;56290;PORT-LOUIS;www.musee-marine.fr/port-louis;16 décembre au 31 janvier, 1er mai;Ouvert du 2 mai au 31 août tous les jours de 10h à 18h30 et du 1er septembre au 30 avril du mercredi au lundi de 13h30 à 18h;
Musée de la Résistance Bretonne;Les Hardys-Behelec;56140;SAINT-MARCEL - MALESTROIT;www.resistance-bretonne.com;Week-end de la semaine 45 à la semaine 50 en 2009;Ouvert  du 15 juin au 15 septembre tous les jours de 10h à 19h et du 16 septembre au 14 juin au de 10h à 12h et de 14h à 18h;
Musée du Château de Suscinio;;56370;SARZEAU;www.suscinio.info;24, 25, 31 décembre et 1er janvier;Ouvert d'avril àseptembre e 10h à 19h, en octobre, février, mars de 10h à12h et de 14h à 17h, de novembre à janvier de 10h à 12h et de 14h à 17h;
Musée d'Histoire et d'Archéologie de Vannes;"Château Gaillard
2, Rue Noé";56000;VANNES;;Octobre à mars;Ouvert de mi-mai à mi-juin tous les jours de 13h30 à 18h et de mi-juin au 30 septembre 2009 tous les jours de 10h à 18h;
La Cohue, Musée des Beaux-Arts de vannes;9 et 15 Place Saint-Pierre;56000;VANNES;;25 décembre, 1er janvier;Ouvert du 14 juin au 30 septembre tous les jours de 10h à 18h, du  1er octobre au 31 mai tous les jours (sauf fériés) de 13h30 à 18h;
Musée des Meilleurs Ouvriers de France;Place Etienne Dolet;18000;BOURGES;Site de la ville www.ville-bourges.fr;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h;
Musée d'Histoire Naturelle Gabriel Foucher;Parc Saint-Paul;18000;BOURGES;www.museum-bourges.net;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert tous les jours de 14h à 18h et pendant les vacances scolaires de la zone B et de 10h à 12h et de 14h à 18h tous les jours;
Musée du Berry;"Hôtel Cujas
4, Rue des Arènes";18000;BOURGES;site de la ville www.ville-bourges.fr;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h;
Musée Estève;"Hôtel des Echevins
13, Rue Edouard Branly";18000;BOURGES;Site de la ville : www.ville-bourges.fr;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h;
Musée des Arts Décoratifs;"Hôtel Lallemant
5, Rue de l'Hôtel Lallemant";18000;BOURGES;Site de la ville www.ville-bourges.fr;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h;
Musée Emile Chénon;10-12, Rue de la Victoire;18370;CHATEAUMEILLANT;;;Ouvert hors saison le lundi de 14h à 17h, du 1er février au 31 mai mercredi de 10h à 12h et du 1er octobre au 17 décembre jeudi, vendredi samedi de 10h à 12h et de 14h à 17h, du 1er juin au 30 septembre tous les jours de 10h à 12h et de 14h30 à 18h;
Musée du Château Charles VII;Place du Général Leclerc;18500;MEHUN-SUR-YEVRE;http://www.ville-mehun-sur-yevre.fr/Le-Château;;Ouvert tous les jours en juillet et août, de 10h à 12h et de 14h à 18h, en mai, juin et septembre de 14h à 18h, en mars, avril, octobre tous les week-ends de 14h à 18h et sur rendez-vous pour les groupes;
Musée Saint-Vic;Cours Manuel;18200;SAINT-AMAND-MONTROND;;1er mai, foires annuelles, Noël, 1er janv.;Ouvert du 1er avril au 30 septembre du mercredi au vendredi de 10h à 12h et de 14h à 18h, le samedi et dimanche de 14h à 18h, du 1er octobre au 31 mars du mercredi au vendredi de 10h à 12h et de 14h à 17h, le samedi et dimanche de 14h à 17h;
Musée Municipal - Fours Banaux;"Service patrimoine
Place Aristide Briand";18100;VIERZON;site de la ville;;Ouvert de 15h à 18h30 tous les jours;
Musée Bonnevallais;Rue des Ecoles;28800;BONNEVAL;;;;
Muséum des Sciences Naturelles et de Préhistoire;5 bis, Bd de la Courtille;28000;CHARTRES;site de la ville : www.ville-chartres.fr ou http://perso.wanadoo.fr/samnel.museum/;;Ouvert durant les vacances scolaires du lundi au vendredi de 14h à 18h, hors vacances scolaires le mercredi et dimanche de 14h à 17h. Accueil des groupes sur rendez-vous toute la semaine;
Musée des Beaux-Arts;"Direction des Arts et du Patrimoine Culturel et Historique
29, Cloître Notre-Dame";28000;CHARTRES;www.ville-chartres.fr ou www.musees.regioncentre.fr/defaulttest.php;1er janvier, 1er & 8 mai, 1 & 11 novembre, 25 décembre;Ouvert le lundi, du mercredi au samedi de 10h à 12h et de 14h à 18, le dimanche de 14h à 18h du 2 mai au 31 octobre, de 10h à 12h et de 14h à 17h du 2 novembre au 30 avril;
Conservatoire du Machinisme et des Pratiques Agricoles;1, rue de la République;28300;CHARTRES-MAINVILLIERS;www.lecompa.com;;Ouvert du mardi au vendredi de 9h à 12h30 et de 13h30 à 18h, samedi, dimanche et jours fériés de 10h à 12h30 et de 13h30 à 19h;
Musée des Beaux-Arts et d'Histoire Naturelle;3, rue Toufaire;28200;CHATEAUDUN;www.ville-chateaudun.fr ou www.musees.regioncentre.fr;1er janvier, 1er mai et 25 décembre;"Ouvert d'octobre à mai du lundi au vendredi, de 9h30 à 12h et de 13h30 à 17h, et, les week-ends et jours fériés, de 14h à 17h
de juin à septembre du mercredi au lundi de 9h30 à 12h et de 13h30 à 18h. Ouvert également le mardi en juillet et août";
Musée d'Art et d'Histoire Marcel Dessal;5-7, Place du musée;28100;DREUX;www.musees.regioncentre.fr - site de la région;Les 15 derniers jours de décembre - Jours fériés sauf 14 juillet;Ouvert du 1er avril au 1er octobre du lundi au dimanche et du 1er octobre au 31 mars du lundi au vendredi, le premier dimanche du mois de 14h à 18h;
Musée Marcel Proust;"4, rue du Docteur Proust
B.P. 20025";28120;ILLIERS-COMBRAY;http://perso.orange.fr/marcelproust/;15 décembre au 15 janvier, 1er mai, 1er & 11 novembre;Ouvert du mardi au dimanche de 14h15 à 17h30 de septembre à juin et en juillet-août de 10h45 à 12h et de 14h15 à 17h30;
Musée du Château Saint-Jean;Rue du Château;28400;NOGENT-LE-ROTROU;www.ville-nogent-le-rotrou.fr/html/art_cult/musee/collec.htm;1er janvier, 1er mai, 1er novembre,  25 décembre;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h de mai à octobre et de novembre à avril de 10h à 12h et de 14h à 17h;
Musée Farcot;Place Farcot;28700;SAINVILLE;mairie.perso.fr/sainville/index.htm;;;
Musée de la Chemiserie et de l'Elégance Masculine;"Rue Charles Brillaud
BP 154";36200;ARGENTON-SUR-CREUSE;http://chemiserie.cc-argenton.fr;24 au 31 décembre, Janvier, du 1er au 14 février;Ouvert du 15 février au 30 juin et du 1er septembre au 23 décembre du mardi au dimanche de 9h30 à 12h et de 14h à 18h, juillet-août lundi de 14h à 18h  et du mardi au dimanche de 10h à 12h30 et de 14h à 18h30;
Château Musée;31/33 Rue Hersent Luzarche;36290;AZAY-LE-FERRON;www.château-azay-le-ferron.com;Fermé du 12 novembre au 31 mars;Ouvert en 2012 du 1er avril au 30 juin et du 1er au 30 septembre tous les jours de 10h à 12h et de 14h à 18h, dimanche et jours fériés de 10h à 18h. Du 1er juillet au 31 août tous les jours de 10h à 18h30. Du 1er au 27 octobre samedi dimanche de 10h à 12h;
Musées de Châteauroux - Hôtel Bertrand;2, Rue Descente-des-Cordeliers;36000;CHATEAUROUX;www.ville-chateauroux.fr - Site de la ville;Janvier et jours fériés sauf 14 juillet, 15 août et 1er novembre. D'octobre à décembre pour le couvent des cordeliers et sur rdv toute l'année pour la maison des ATP;"Ouvert du mardi au dimanche d'octobre à mai de 14h à 18h et de juin à septembre de 10h à 12h et de 14h à 18h, le week-end de 10h à 12h30 et de 14h à 18h.
Le Couvent des Cordeliers est ouvert lors des manifestations ou expositions et la maison des ATP sur";
Musée de l'Hospice Saint-Roch;"23, Rue de l'Hospice Saint-Roch
B.P. 150";36100;ISSOUDUN Cedex;www.issoudun.fr;1er mai, 1 & 11 novembre, 24 au 26 décembre 31 décembre au 31 Janvier;Ouvert du 1er octobre au 30 décembre et du 1er février au 30 avril du mercredi au vendredi de 14h à 18h, samedi et dimanche de 10h à 12h et de 14h à 18h, et du 2 mai au 30 septembre lundi et mardi de 14h à 18h et mercredi à dimanche de 10h à 12h et de 14h;
Musée George Sand et de la Vallée Noire;71, Rue Venôse;36400;LA CHATRE;Site de la région ou www.pays-george-sand.com;Janvier, 1er mai, 25 et 26 décembre;Ouvert du mercredi au lundi en février, mars, novembre, décembre de 14h à 17h, avril, octobre de 14h30 à 18h30, mai, juin, septembre de 10h à 12h et de 14h à 18h30, le dimanche de 14h à 18h30, et en juillet-août tous les jours de 10h à 12h et de 14h à 18h;
Musée de Géologie Régionale;;36600;LANGE;;;;
Musée Ornithologique (Ecomusée de la Brenne);Château Naillac;36300;LE BLANC;Site de la région centre;Janvier, 11 novembre et 25 décembre;Ouvert d'octobre à avril du mardi au dimanche de 10h à 12h et de 14h à 17h et en mai, juin et septembre de 9h30 à 12h30 et de 14h à 18h, en juillet-août tous les jours de 9h30 à 18h;
Musée Archéologique d'Argentomagus;"""Les Mersans""
B.P. 6";36200;SAINT-MARCEL;www.argentomagus.com ou www.argentomagus.cc-argenton.fr;du 24 décembre au 1er janvier inclus et durant les trois premières semaines de janvier;Ouvert du 1er septembre au 30 juin du mercredi au lundi de 9h30-12h et de 14h-18h et en juillet-août tous les jours;
Musée de la poste;6, Rue Joyeuse;37400;AMBOISE;;;;
Musée de l'Hôtel de Ville;"60, Rue Concorde
B.P. 247";37402;AMBOISE Cedex;Site de la ville www.ville-amboise.fr;1er octobre au 30 juin excepté du 14 au 22 novembre;Ouvert du mercredi au lundi de 10h à 12h30 et de 14h à 18h du 15 juin aux journées du patrimoine. Le reste de l'année ouvert pour les groupes sur demande;
Musée du Vieux Chinon;44, Rue Haute-Saint-Maurice;37500;CHINON;www.chinon-histoire.org;;Ouvert du mercredi au lundi du 1er mai  au 15 septembre de 14h30 à 18h30, du 20 février au 30 avril et du 16 septembre au 11 novembre du vendredi au lundi de 14h à 18h;
"""Maison Musée"" René Descartes";29, Rue Descartes;37160;DESCARTES;www.ville-descartes.fr/pratique/f_pratique.htm;1er mai, 1er novembre;Ouvert de 14h à 17h du mercredi au lundi en basse saison, de 10h à 12h et de 14h à 18h en haute saison;
Musée de Préhistoire du Grand Pressigny;Château du Grand-Pressigny;37350;LE GRAND PRESSIGNY;www.prehistoiregrandpressigny.fr;1er janvier, 25 décembre;Ouvert du mercredi au lundi d'octobre à mars de 10h à 12h30 et de 14h à 18h et le dimanche de 10h à 17h et d'avril à fin juin et septembre tous les jours de 10h à 18h et en juillet-août tous les jours de 10h à 19h;
Musée Lansyer;1, rue Lansyer;37600;LOCHES;Site de la région centre ou http://www.lochesentouraine.com;1er novembre au 31 mars;Ouvert en avril, mai, octobre les mercredi, jeudi, vendredi de 14h à 17h, week-end et jours fériés de 10h30 à 12h30 et de 14h à 17h, et de juin à septembre du mercredi au lundi de 10h30 à 12h30 et de 14h à 18h;
Musée du Terroir;;37600;LOCHES;;;;
Musée de l'Hôtel de Ville;1, Place du Marché;37120;RICHELIEU;www.ville-richelieu.fr;1er janvier, 25 décembre;Ouvert du 2 janvier au 12 avril et du 30 septembre au 28 décembre du lundi au vendredi de 10h à 12h et de 14h à 17h, du 13 avril au 29 septembre du mercredi au lundi de  10h à 12h et de 14h à 18h;
Musée Balzac;Château de Saché;37190;SACHE;Site hébergé sur www.lysdanslavallee.fr,;1er janvier, 25 décembre;Ouvert de janvier à mars et d'octobre à décembre de 10h à 12h30 et de 14h à 17h, d'avril à juin et septembre de 10h à 18h et en juillet-août de 10h à 19h;
Musée Municipal;Place du Château;37800;SAINTE-MAURE-DE-TOURAINE;www.sainte-maure-de-touraine.fr;;Ouvert en 2013 pour les JEP;
Musée du Savignéen;10, Faubourg Rue;37340;SAVIGNE-SUR-LATHAN;www.museedusavigneen.com;Janvier et février;Ouvert du 15 mars au 15 juin et du 15 septembre au 15 novembre les samedis, dimanches et jours fériés de 14h30 à 18h et du 16 juin au 14 septembre du mercredi au lundi;
Ecomusée du Véron;80, Route de Candes;37420;SAVIGNY-EN-VERON;www.cc-veron.fr/ecomusee;1er mai, 1er et 11 novembre;Ouvert du 16 février au 31 mai lundi, mercredi au vendredi de 10h à 12h30 et de 14h à 18h, week-end et jours fériés de 14h à 18h, de juin à septembre du lundi au vendredi de 10h à 12h30 et de 14h à 18h week-end et jours fériés de 10h à 12h30 et de 14h à 1;
Musée Rabelais;Maison de la Devinière;37500;SEUILLY;www.musee-rabelais.fr ou site du conseil général;25 décembre et 1er janvier;Ouvert tous les jours en juillet-août de 10h à 19h, d'octobre à mars du mercredi au dimanche de 10h à 12h30 et de 14h à 17h, d'avril à juin et septembre du mercredi au lundi de 10h à 12h30 et de 14h à 18h;
Muséum d'Histoire Naturelle;3, Rue du Président Merville;37000;TOURS;www.museum.tours.fr;1er janvier, 1er mai, 14 juillet, 25 décembre;Ouvert du mardi au vendredi de 10h à 12h et de 14h à 18h, samedi, dimanche et jours fériés de 14h à 19h, le lundi est réservé aux scoloires;
Musée des Beaux-Arts;18, Place François Sicard;37000;TOURS;www.mba.tours.fr ou www.musees-regioncentre.fr;1er janvier, 1er mai, 14 juillet, 1er et 11 novembre, 25 décembre;Ouvert du mercredi au lundi de 9h à 12h45 et de 14h à 18h, et de 9h à 18h pendant les expositions temporaires;
Musée des Vins de Touraine;"Cellier Saint-Julien
16, Rue Nationale";37000;TOURS;site de la ville;;Ouvert vendredi, samedi dimanche de 9h à 12h et de 14h à 18h;
Musée du Compagnonnage;"Cloître Saint-Julien
8, Rue Nationale";37000;TOURS;www.museecompagnonnage.fr;1er janvier, 1er mai, 14 juillet, 1er et 11 novembre, 25 décembre;Ouvert du 2 janvier au 15 juin du mercredi au lundi de 9h à 12h30 et de 14h à 18h, du 16 juin au 15 septembre tous les jours de 9h à 12h30 et de 14h à 18h et du 16 septembre au 31 décembre du mercredi au lundi de 9h à 12h30 et de 14h à 18h;
Musée de l'Hôtel Goüin;"25, Rue du Commerce
B.P. 1105";37011;TOURS Cedex;Site du conseil général;;;
Musée de Minerve;Place du Musée;37290;YZEURES-SUR-CREUSE;;;Ouvert d'avril à octobre de 8h à 18h tous les jours;
Maison de la Magie;1, Place du Château;41000;BLOIS;www.maisondelamagie.fr;17 avril, 1er et 8 mai, 5 juin;Ouvert  du 7 avril au 23 septembre et du 27 octobre au 11 novembre 2012 tous les jours de 10h à 12h30 et de 14h à 18h30;
Château Musées de Blois;Château de Blois;41000;BLOIS;www.chateaudeblois.fr;1er janvier et 25 décembre;Ouvert tous les jours d'octobre à mars de 9h à 12h30 et de 13h30 à 17h30. Du 1er avril au 30 septembre de 9h à 18h30;
Muséum d'Histoire Naturelle;"""Les Jacobins""
Rue Anne de Bretagne";41000;BLOIS;www.ville-blois.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du mardi au dimanche de 14h à 18h, pendant les vacances scolaires du mardi au vendredi de 10h à 12h et de 14h à 18h, et le week-end de 14h à 18h. Groupes du lundi au vendredi de 9h à 12h et de 14h à 18h sur rendez-vous;
Musée de la Corbillière;Château de la Corbillière;41500;MER;;;Ouvert durant les expositions temporaires mercredi, samedi et dimanche de 14h à 18h et en juillet-août du mercredi au dimanche de 10h à 13h et de 14h à 18h;
Atelier Musée Louis Leygue;106, Rue des Venages;41100;NAVEIL;;;Ouvert occsionnellement;
Musée de Sologne;"Moulin du Chapitre
B.P. 147";41206;ROMORANTIN-LANTHENAY Cedex;www.museedesologne.com;Les 1er janvier, 1er mai, 25 décembre;Ouvert du 2 janvier au 31 décembre de 10h à 12h et de 14h à 18h dimanche et jours fériés de 14h à 18h;
Musée Archéologique;Hôtel de Ville;41140;THESEE;www.musees.regioncentre;;Visites guidées à 11h15 et à 16h, tous les week-end et jours fériés de Pâques au 30 septembre;
Musée de Vendôme;Cloître de la Trinité;41100;VENDOME;www.vendome.eu/intro/1p1e-421-musee-vendome.html-vendome.html ou www.musees.regioncentre.fr;1er janvier, le 1er mai, le 25 décembre;Ouvert du 1er avril au 31 octobre du mercredi au lundi de 10h à 12h et de 14h à 18h et du 1er novembre au 31 mars le lundi et du mercredi au samedi de 10h à 12h et de 13h30 à 17h30;
Musée Municipal Théâtre Forain et Archéologique;Quartier du Paradis;45410;ARTENAY;www.musee-theatre-forain.fr;;Ouvert du 1er juin au 30 septembre de 10h à 12h et de 14h à 18h, du 1er octobre au 31 mai de 14h à 17h;
Musée Daniel Vannier;"Hôtel de Ville - Service patrimoine
20, Rue du Change";45190;BEAUGENCY;site de la région ou www.patrimoine-beaugency.fr;;;
Musée de la Marine de Loire;"Ecuries du Château
1, Place Aristide Briand";45110;CHATEAUNEUF-SUR-LOIRE;www.chateauneuf-sur-loire.com ou www.musees-centre.com;1er janvier, 1er mai, 25 décembre;Ouvert du mercredi au lundi de 10h à 18h du 1er avril au 31 octobre et de 14h à 18h du 1er novembre au 31 mars;°
Musée d'Art et d'Archéologie;2, Faubourg Puyrault;45230;CHATILLON-COLIGNY;http://www.ifrance.com/chatillon-coligny;;Ouvert du 1er avril au 30 septembre du mardi au vendredi de 14h à 17h30, samedi et dimanche 10h à 12h et de 14h à 17h30 et du 1er octobre au 31 mars samedi de 9h à 12h et de 14h à 17h30;
Musée International de la Chasse;"Château de Gien
B.P. 99";45503;GIEN Cedex;www.château-gien.com;25 décembre et en janvier;Ouvert du 1er février au 31 mars et du 1er octobre au 31 décembre de 14h à 17h et du 1er avril au 30 juin et du 1er au 30 septembre de 13h30 à 18h, en juillet/août tous les jours de 13h30 à 18h;
Musée Gaston Couté;"Espace culturel La Monnaye
22 Rue des Remparts";45130;MEUNG-SUR-LOIRE;www.meung-sur-loire.com;Fermé pendant les vacances scolaires de Noël, 1er mai et 1er novembre;Ouvert le mercredi et vendredi de 14h30 à 18h30, le samedi de 9h30 à 12h30, le dimanche de 15h à 18h;
Musée Girodet;2, rue de la Chaussée;45200;MONTARGIS;www.montargis.fr/musee.htm;Jours fériés;Ouvert du mercredi au dimanche 9h à 12h et de 13h30 à 17h30 (vendredi 17h);
Musée du Gatinais;7, Rue du Château;45200;MONTARGIS;;;Ouvert samedi et dimanche de 13h30 à 17h30 depuis le 16 janvier 2008, depuis le 15 avril 2009 ouvert le mercredi et samedi de 13h30 à 17h30;
Musée Historique et Archéologique;"Square Abbé Desnoyers
Hôtel Cabu";45000;ORLEANS;Site de la ville;1er et 11 novembre, 25 décembre;Ouvert du 1er octobre au 30 avril le mercredi de 13h30 à 17h45, le dimanche de 14h à 18h, du 1er mai au 30 juin et en septembre du mardi au samedi de 13h30 à 17h45, le dimanche de 14h à 18h, en juillet-août du mardi au samedi de 9h30 à 12h15 et de 13h30 à;
Muséum des Sciences Naturelles;6, Rue Marcel Proust;45000;ORLEANS;www.orleans.fr;Jours fériés;"Ouvert tous les jours de 14h à 18h pour les individuels
Tous les jours de 9h à 12h et de 14h à 18h pour les scolaires et groupes";
Musée des Beaux-Arts;1, rue Fernand Rabier;45000;ORLEANS;Région : www.musees.regioncentre.fr ou  www.orleans.fr (rubrique culture/musee);1er et 11 novembre, 25 décembre;Ouvert de 10h à 18h du mardi au dimanche;
Musée Municipal;"Direction de l'action culturelle
5, Place Denis Poisson - B.P. 706";45307;PITHIVIERS Cedex;;;;
Musée de la Maison de la Dernière Cartouche;12 Avenue de la Dernière Cartouche;8140;BAZEILLES;www.maisondeladernierecartouche.com;Fêtes de Noël et du Jour de l’An;Ouvert du mercredi au dimanche de 10h à 12h et de 13h30 à 18h du 15 juin au 30 septembre et du 30 septembre au 15 juin de 13h30 à 17h. Tlj sur réservation pour les groupes;
Musée Arthur Rimbaud;Quai Arthur Rimbaud;8000;CHARLEVILLE-MEZIERES;www.mairie-charlevillemezieres.fr/htm/culture/rimbaud.htm;;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h;
Maison des Ailleurs - Arthur Rimbaud;Quai Rimbaud;8000;CHARLEVILLE-MEZIERES;Site de la ville;;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h tous les jours;
Musée de l'Ardenne;31, Place Ducale;8000;CHARLEVILLE-MEZIERES;www.mairie-charlevillemezieres.fr/htm/culture/rimbaud.htm;;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h;
Musée de Givet;"Mairie
11, Place Carnot";8600;GIVET;;;;
Musée du Feutre;Mairie;8210;MOUZON;www.culture.gouv.fr/champagne-ardenne/2culture/musee_france/musee_mouzon.html;Octobre à avril;Ouvert tous les jours de mai à septembre de 14h à 18h, en avril et octobre les W.E. de 14h à 18h. Tous les jours sur réservation pour les groupes;
Musée du Rethelois et du Porcien;Place Noiret-Chaigneau;8300;RETHEL;;;;
Musée du Château-Fort;BP 10322;8200;SEDAN;www.chateau-fort-sedan.fr;25 décembre et 1er janvier;Ouvert d'avril à septembre et vacances scolaires (zone B, Belgique, Pays-Bas) tous les jours de 10h à 12h et de 13h30 à 17h, d'octobre à mars (hors vacances scolaires) du mardi au dimanche de 10h à 12h et de 13h30 à 17h, en juillet-août tous les jours de;de juin à septembre
Musée Municipal;"Hôtel de ville
Place Carnot - B.P. 110";10202;BAR-SUR-AUBE CEDEX;;;;
Musée Napoléon Ier;34, Rue de l'Ecole Militaire;10500;BRIENNE-LE-CHATEAU;www.musee-napoleon-brienne.fr;1er mai, vacances de Noël;Ouvert du 1er novembre au 31 mars du mardi au vendredi de 10h à 12h30 et de 14h à 17h, week-end et jours fériés de 14h à 17h, du 1er avril au 31 octobre tous les jours de 10h à 12h30 et de 14h à 18h;
Musée de la Résistance;Rue Boursault;10250;MUSSY-SUR-SEINE;Site de l'OT;;Ouvert d'octobre à mars du mardi au vendredi de 9h à 13h et de 14h30 à 17h30, d'avril à mai du lundi au vendredi de 9h à 13h et de 14h à 18h et de juin à septembre du mardi au samedi de 9h à 13h et de 14h à 18h;
Musée Paul Dubois - Alfred Boucher;"Rue Gué de la Loge
B.P. 40";10401;NOGENT-SUR-SEINE Cedex;www.musee-nogent-sur-seine.fr;Décembre et  janvier;Ouvert du mercredi au dimanche de 14h à 18h;
Musée des Beaux-Arts;1, Rue Chrestien-de-Troyes;10000;TROYES;www.musees-troyes.com;1er au 9 janvier, 1er mai, 1er et 11 novembre et 25 décembre;Ouvert du mercredi au vendredi et lundi  de 10h à 13h et de 14h à 19h, le week-en de 11h à 19h de mai à septembre et de 10h à 12h et de 14h à 17 et le week-end de 11h à 18h d'octobre à avril;
Musée Historique de Troyes et de la Champagne;4, Rue Vauluisant;10000;TROYES;;1er janvier, 1er mai, 11 novembre et 25 décembre;Ouvert de mai à septembre le mercredi de 14h à 19h, du jeudi au vendredi de 11h à 13h et de 14h à 19h le week-end de 11h à 13h et de 14h à 19h, d'octobre à avril le mercredi de 14h à 17h et du jeudi au dmanchei de 10h à 12h et de 14h à 17h;
Pharmacie Musée de l'Hôtel-Dieu;Quai des Comtes-de-Champagne;10000;TROYES;;1er au 9 janvier, 1er mai, 1er et 11 novembre et 25 décembre;Ouvert le mercredi au dimanche de 10h à 12h et de 14h à 17h en basse saison et en haute saison de 10h à 13h et de 14h à 19h;
